sample_id	cluster	cuproptosis	disulfidptosis	ferroptosis
TCGA-2L-AAQJ-01A-12R-A39D-07	C1	-0.541091234669306	0.507083388502579	0.156903869080744
TCGA-2L-AAQL-01A-11R-A38C-07	C1	-1.068455459918	-0.452595948916044	-0.534180951485899
TCGA-2L-AAQM-01A-11R-A39D-07	C2	-0.206101516851882	-1.39335530388318	-0.348905780228217
TCGA-3A-A9I5-01A-11R-A38C-07	C1	-0.307378736016367	-1.19454505012252	-0.235189684978866
TCGA-3A-A9I7-01A-21R-A38C-07	C3	0.506913220064057	0.207094265089239	0.46589088265715
TCGA-3A-A9I9-01A-11R-A38C-07	C1	-0.274931797578972	-0.537642631983318	-0.263974746867556
TCGA-3A-A9IB-01A-21R-A39D-07	C1	-0.0764023679784755	0.528506157455146	0.518317596412926
TCGA-3A-A9IC-01A-11R-A38C-07	C1	-0.338007602828332	-0.0848992432926514	-0.196182238199552
TCGA-3A-A9IH-01A-12R-A39D-07	C1	0.920227745859903	1.081567718957	0.560385603615619
TCGA-3A-A9IJ-01A-11R-A39D-07	C1	-0.0580811502367297	-1.40892099155611	-0.723929510968759
TCGA-3A-A9IL-01A-11R-A38C-07	C2	-0.209249650439125	-1.16502626566035	-0.43632146132938
TCGA-3A-A9IN-01A-11R-A39D-07	C2	-0.618851712151515	-1.00024890329753	-0.403178013094804
TCGA-3A-A9IO-01A-11R-A38C-07	C2	0.395724946757959	-1.08572900950266	-0.565144160525155
TCGA-3A-A9IR-01A-11R-A38C-07	C1	0.703901443281007	-0.330180136273167	0.177164423413461
TCGA-3A-A9IS-01A-21R-A39D-07	C2	0.239720520716609	-0.87289765684962	-0.460584587873068
TCGA-3A-A9IU-01A-11R-A39D-07	C1	0.136325608440923	0.269209874575074	-0.0209860087837575
TCGA-3A-A9IV-01A-11R-A41B-07	C2	-0.428711352570276	-0.968041813264973	-0.467427764638318
TCGA-3A-A9IX-01A-11R-A41B-07	C3	0.496554928922398	0.253907564981684	0.234832657669237
TCGA-3A-A9IZ-01A-12R-A41B-07	C2	-1.1526519294724	-0.406417628692558	-0.576619247898142
TCGA-3A-A9J0-01A-11R-A41B-07	C1	-0.537847041826047	0.0972804428393467	0.144666591446085
TCGA-3E-AAAY-01A-11R-A38C-07	C1	0.436473103560952	0.0344779406231776	0.261565094187066
TCGA-3E-AAAZ-01A-11R-A38C-07	C1	0.830710057826178	0.702545305043504	0.404085566760705
TCGA-F2-6879-01A-11R-2156-07	C3	1.17219876440889	1.42371860936234	1.00599093605698
TCGA-F2-6880-01A-11R-2156-07	C2	-1.73168884119742	-2.24160820582945	-2.27084100384924
TCGA-F2-7273-01A-11R-2156-07	C3	1.40212812328496	1.10392541013352	0.945242795453292
TCGA-F2-7276-01A-11R-2156-07	C3	1.10431125198665	0.763045882268392	0.60996375223894
TCGA-F2-A44G-01A-11R-A26U-07	C1	-0.189243914342551	0.0368087525558558	-0.124513019729672
TCGA-F2-A44H-01A-11R-A26U-07	C2	-1.71118710440927	-1.86962595213472	-1.47374136216545
TCGA-F2-A7TX-01A-33R-A38C-07	C3	0.485106369666959	0.461788523853405	0.438870384205645
TCGA-F2-A8YN-01A-11R-A37L-07	C2	0.233823120744044	0.376066265050899	0.319191005077162
TCGA-FB-A4P5-01A-11R-A26U-07	C2	-1.04016293846245	-1.09565438887223	-0.814169046736839
TCGA-FB-A4P6-01A-12R-A26U-07	C3	-0.761593761073884	-0.857474377880868	-0.817157658391209
TCGA-FB-A545-01A-11R-A26U-07	C1	-1.23519104848413	-0.545818870790949	-1.11939756076133
TCGA-FB-A5VM-01A-11R-A32O-07	C1	-0.383724042790715	-0.197447445321138	0.432862988245706
TCGA-FB-A78T-01A-12R-A32O-07	C1	0.092975842304058	0.18900204434192	0.251591707695143
TCGA-FB-A7DR-01A-21R-A33R-07	C1	0.082286948628201	0.212531273985451	0.364792148747517
TCGA-FB-AAPP-01A-12R-A41B-07	C1	-0.592506169605564	-0.816318275483306	-0.883435247285846
TCGA-FB-AAPQ-01A-11R-A41B-07	C2	-1.65672134658592	-0.802945001971246	-0.913857460458193
TCGA-FB-AAPS-01A-12R-A39D-07	C1	-1.00976392251283	-0.6601471313144	-0.674068866642597
TCGA-FB-AAPU-01A-31R-A41B-07	C1	0.271890562332123	0.37265659051684	0.37798620101092
TCGA-FB-AAPY-01A-11R-A41B-07	C1	-0.372981203894743	-0.392900444739851	-0.0428414217978463
TCGA-FB-AAPZ-01A-11R-A41B-07	C1	-1.11871540009947	-0.423683409237551	-0.502481551685114
TCGA-FB-AAQ0-01A-31R-A41B-07	C1	-0.596201991002379	-0.128234908029112	-0.369357122587497
TCGA-FB-AAQ1-01A-12R-A41B-07	C1	0.0645289697433632	0.0374698957995114	0.251865054216617
TCGA-FB-AAQ2-01A-31R-A41B-07	C2	0.423244521473706	0.355008711715002	0.410368631517152
TCGA-FB-AAQ3-01A-11R-A41B-07	C1	-0.444185321635429	-0.741141256469656	-0.645646804653542
TCGA-FB-AAQ6-01A-11R-A41B-07	C2	-1.45961649727175	-1.29891814148244	-0.962097837264686
TCGA-H6-8124-01A-11R-2404-07	C3	0.739601544142326	0.744428319570835	0.222741084453998
TCGA-H6-A45N-01A-11R-A26U-07	C2	-1.15059397309032	-0.90432653905346	-0.969805525093298
