sample_id	cluster	subtype_label	MCD_overall_score	ferroptosis	cuproptosis	disulfidptosis
TCGA-LB-A7SX-01A-11R-A33R-07	C1	MCD-intermediate	0.236204362792032	0.172241704905419	0.444699433864959	0.0916719496057174
TCGA-LB-A8F3-01A-11R-A36G-07	C1	MCD-intermediate	-0.288845453173288	-0.19924211852535	-0.25949703254161	-0.407797208452903
TCGA-LB-A9Q5-01A-11R-A39D-07	C2	MCD-low	-1.20452690819756	-1.13469620006604	-1.32079465216062	-1.15808987236603
TCGA-M8-A5N4-01A-11R-A26U-07	C1	MCD-intermediate	-0.462968071576841	-0.448806006336246	-0.81032320842262	-0.129774999971657
TCGA-OE-A75W-01A-12R-A32O-07	C1	MCD-intermediate	-0.224179731201954	0.030262123228389	-0.530833021972048	-0.171968294862204
TCGA-PZ-A5RE-01A-11R-A32O-07	C1	MCD-intermediate	0.346735841518388	0.537315643716016	-0.0653605092734709	0.56825239011262
TCGA-Q3-A5QY-01A-12R-A32O-07	C2	MCD-low	-0.352834251136818	-0.190540326796946	-0.156028274058267	-0.711934152555242
TCGA-Q3-AA2A-01A-11R-A37L-07	C1	MCD-intermediate	-0.824833313221721	-0.667977976874072	-0.909975027461822	-0.896546935329269
TCGA-RB-A7B8-01A-12R-A33R-07	C1	MCD-intermediate	-0.431732106005174	-0.266178558334355	-0.549311813587798	-0.479705946093368
TCGA-RB-AA9M-01A-11R-A39D-07	C1	MCD-intermediate	0.256437049401248	0.132993975130909	0.41529751433908	0.221019658733755
TCGA-RL-AAAS-01A-32R-A39D-07	C1	MCD-intermediate	-0.171886895803982	-0.106705406708934	-0.0332066361963814	-0.375748644506632
TCGA-S4-A8RM-01A-11R-A37L-07	C1	MCD-intermediate	0.410253258209965	0.309020894165587	0.395616642146715	0.526122238317594
TCGA-S4-A8RO-01A-12R-A37L-07	C1	MCD-intermediate	0.0376674935461217	0.142061247484221	0.162163073822528	-0.191221840668384
TCGA-S4-A8RP-01A-11R-A36G-07	C1	MCD-intermediate	-0.201234483341217	-0.327632177951034	-0.118858880861874	-0.157212391210743
TCGA-US-A774-01A-21R-A32O-07	C3	MCD-high	0.258127658969107	0.270995480472685	0.395220807628193	0.108166688806444
TCGA-US-A776-01A-13R-A33R-07	C1	MCD-intermediate	-0.173919641095926	-0.299106460816277	-0.0885271766521081	-0.134125285819394
TCGA-US-A779-01A-11R-A32O-07	C1	MCD-intermediate	0.0638979033541354	0.0767531409696246	0.0588472908321214	0.0560932782606602
TCGA-US-A77E-01A-11R-A32O-07	C1	MCD-intermediate	0.277838739090004	0.140352989442746	0.23262518306283	0.460538044764437
TCGA-US-A77G-01A-11R-A32O-07	C1	MCD-intermediate	0.363426313917564	0.293811167236108	0.0418332999692911	0.754634474547294
TCGA-US-A77J-01A-11R-A32O-07	C2	MCD-low	-0.629389999474361	-0.337180855023947	-0.617908884138198	-0.933080259260937
TCGA-XD-AAUG-01A-61R-A41B-07	C2	MCD-low	-0.869437514738193	-0.851792326910586	-0.788189357961181	-0.968330859342811
TCGA-XD-AAUH-01A-42R-A41B-07	C3	MCD-high	-0.227007099220361	-0.17310810873174	-0.0110811533664761	-0.496832035562868
TCGA-XD-AAUI-01A-42R-A41B-07	C1	MCD-intermediate	0.152083656077759	0.116191766672006	0.20376476950768	0.136294432053592
TCGA-XD-AAUL-01A-21R-A39D-07	C1	MCD-intermediate	0.396982739355901	0.250537856833676	0.139411834861083	0.800998526372944
TCGA-XN-A8T3-01A-11R-A36G-07	C3	MCD-high	-0.290521315637049	-0.372210312995279	-0.133159113335761	-0.366194520580108
TCGA-XN-A8T5-01A-12R-A36G-07	C2	MCD-low	-0.454932150212251	-0.33548623496865	-0.622087689090736	-0.407222526577367
TCGA-YB-A89D-01A-12R-A36G-07	C1	MCD-intermediate	-0.137332550662571	-0.020420183189977	-0.350377008282448	-0.0412004605152877
TCGA-YH-A8SY-01A-11R-A37L-07	C1	MCD-intermediate	-0.358053136070176	-0.307623090036676	-0.611650494632081	-0.15488582354177
TCGA-YY-A8LH-01A-11R-A36G-07	C1	MCD-intermediate	0.317447671013363	0.356936032579537	-0.113091013589617	0.70849799405017
TCGA-Z5-AAPL-01A-12R-A41B-07	C2	MCD-low	-0.382237921455942	-0.256175853700883	-0.0354566328677005	-0.855081277799243
