initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"796 European ancestry cases, 330,958 European ancestry controls"	NA	"FALSE"	"458873"	"FALSE"	NA	"GCST90077689"	"TRUE"	NA	"Liver, biliary or pancreas problem"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0009605"	"pancreas disease"	"GCST90077689"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"Liver, biliary or pancreas problem"	"796 European ancestry cases, 330,958 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | Liver, biliary or pancreas problem | pancreas disease | Backman JD | 796 European ancestry cases, 330,958 European ancestry controls | "	0	2	0	1	3	TRUE
"753 European ancestry cases, 328,299 European ancestry controls"	NA	"FALSE"	"456275"	"FALSE"	NA	"GCST90077690"	"TRUE"	NA	"ICD10 K87: Liver, biliary or pancreas problem"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0009605"	"pancreas disease"	"GCST90077690"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K87: Liver, biliary or pancreas problem"	"753 European ancestry cases, 328,299 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K87: Liver, biliary or pancreas problem | pancreas disease | Backman JD | 753 European ancestry cases, 328,299 European ancestry controls | "	0	2	0	1	3	TRUE
"582 European ancestry cases, 387,348 European ancestry controls"	NA	"FALSE"	"510688"	"FALSE"	NA	"GCST90080312"	"TRUE"	NA	"ICD10 K86.8: Other specified diseases of pancreas"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0009605"	"pancreas disease"	"GCST90080312"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86.8: Other specified diseases of pancreas"	"582 European ancestry cases, 387,348 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86.8: Other specified diseases of pancreas | pancreas disease | Backman JD | 582 European ancestry cases, 387,348 European ancestry controls | "	0	2	0	1	3	TRUE
"1,601 European ancestry cases, 386,179 European ancestry controls"	NA	"FALSE"	"510564"	"FALSE"	NA	"GCST90080313"	"TRUE"	NA	"ICD10 K86: Other diseases of pancreas"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0009605"	"pancreas disease"	"GCST90080313"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86: Other diseases of pancreas"	"1,601 European ancestry cases, 386,179 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86: Other diseases of pancreas | pancreas disease | Backman JD | 1,601 European ancestry cases, 386,179 European ancestry controls | "	0	2	0	1	3	TRUE
"796 European ancestry cases, 330,958 European ancestry controls"	NA	"FALSE"	"184201"	"FALSE"	NA	"GCST90081675"	"TRUE"	NA	"Liver, biliary or pancreas problem (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90081675"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"Liver, biliary or pancreas problem (Gene-based burden)"	"796 European ancestry cases, 330,958 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | Liver, biliary or pancreas problem (Gene-based burden) | pancreas disease | Backman JD | 796 European ancestry cases, 330,958 European ancestry controls | "	0	2	0	1	3	TRUE
"753 European ancestry cases, 328,299 European ancestry controls"	NA	"FALSE"	"184145"	"FALSE"	NA	"GCST90081676"	"TRUE"	NA	"ICD10 K87: Liver, biliary or pancreas problem (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90081676"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K87: Liver, biliary or pancreas problem (Gene-based burden)"	"753 European ancestry cases, 328,299 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K87: Liver, biliary or pancreas problem (Gene-based burden) | pancreas disease | Backman JD | 753 European ancestry cases, 328,299 European ancestry controls | "	0	2	0	1	3	TRUE
"582 European ancestry cases, 387,348 European ancestry controls"	NA	"FALSE"	"185344"	"FALSE"	NA	"GCST90084298"	"TRUE"	NA	"ICD10 K86.8: Other specified diseases of pancreas (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90084298"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86.8: Other specified diseases of pancreas (Gene-based burden)"	"582 European ancestry cases, 387,348 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86.8: Other specified diseases of pancreas (Gene-based burden) | pancreas disease | Backman JD | 582 European ancestry cases, 387,348 European ancestry controls | "	0	2	0	1	3	TRUE
"1,601 European ancestry cases, 386,179 European ancestry controls"	NA	"FALSE"	"185343"	"FALSE"	NA	"GCST90084299"	"TRUE"	NA	"ICD10 K86: Other diseases of pancreas (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90084299"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86: Other diseases of pancreas (Gene-based burden)"	"1,601 European ancestry cases, 386,179 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86: Other diseases of pancreas (Gene-based burden) | pancreas disease | Backman JD | 1,601 European ancestry cases, 386,179 European ancestry controls | "	0	2	0	1	3	TRUE
"997 European ancestry individuals"	"FALSE"	"FALSE"	"509946"	"FALSE"	"FALSE"	"GCST90101390"	"TRUE"	"FALSE"	"Pancreatic hormone levels"	"338 Greater Middle Eastern (Middle Eastern, North African or Persian), South Asian ancestry, Asian ancestry individuals"	"28240269"	"2017-02-27"	"Nat Commun"	"Connecting genetic risk to disease end points through the human blood plasma proteome."	NA	"KORA"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90101390"	"Connecting genetic risk to disease end points through the human blood plasma proteome."	"Suhre K"	"28240269"	"Pancreatic hormone levels"	"997 European ancestry individuals"	NA	"Connecting genetic risk to disease end points through the human blood plasma proteome. | Pancreatic hormone levels | pancreatic hormone measurement | Suhre K | 997 European ancestry individuals | "	0	2	0	1	3	TRUE
"584 European ancestry cases, 6,040 European ancestry controls"	NA	"FALSE"	NA	"TRUE"	NA	"GCST90104595"	"FALSE"	NA	"Non-alcoholic chronic pancreatitis"	"NA"	"35331647"	"2022-03-11"	"Pancreatology"	"Colocalization analysis of pancreas eQTLs with risk loci from alcoholic and novel non-alcoholic chronic pancreatitis GWAS suggests potential disease causing mechanisms."	NA	"KORA|INCIPE|GESGA|Other"	NA	"EFO_0021524"	"non-alcoholic pancreatitis"	"GCST90104595"	"Colocalization analysis of pancreas eQTLs with risk loci from alcoholic and novel non-alcoholic chronic pancreatitis GWAS suggests potential disease causing mechanisms."	"Schmidt AW"	"35331647"	"Non-alcoholic chronic pancreatitis"	"584 European ancestry cases, 6,040 European ancestry controls"	NA	"Colocalization analysis of pancreas eQTLs with risk loci from alcoholic and novel non-alcoholic chronic pancreatitis GWAS suggests potential disease causing mechanisms. | Non-alcoholic chronic pancreatitis | non-alcoholic pancreatitis | Schmidt AW | 584 European ancestry cases, 6,040 European ancestry controls | "	0	2	0	1	3	TRUE
"2,935 Qatari ancestry individuals"	NA	"FALSE"	"10004359"	"FALSE"	NA	"GCST90162130"	"TRUE"	NA	"Pancreatic hormone levels"	"NA"	"36168886"	"2022-09-28"	"Hum Mol Genet"	"Differences and commonalities in the genetic architecture of protein quantitative trait loci in European and Arab populations."	NA	"QGP"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90162130"	"Differences and commonalities in the genetic architecture of protein quantitative trait loci in European and Arab populations."	"Thareja G"	"36168886"	"Pancreatic hormone levels"	"2,935 Qatari ancestry individuals"	NA	"Differences and commonalities in the genetic architecture of protein quantitative trait loci in European and Arab populations. | Pancreatic hormone levels | pancreatic hormone measurement | Thareja G | 2,935 Qatari ancestry individuals | "	0	2	0	1	3	TRUE
"3,301 European ancestry individuals"	NA	"FALSE"	"10572788"	"TRUE"	NA	"GCST90241486"	"TRUE"	NA	"Inactive pancreatic lipase-related protein 1 levels (PNLIPRP1.6627.25.3)"	"NA"	"29875488"	"2018-06-06"	"Nature"	"Genomic atlas of the human plasma proteome."	NA	"INTERVAL"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90241486"	"Genomic atlas of the human plasma proteome."	"Sun BB"	"29875488"	"Inactive pancreatic lipase-related protein 1 levels (PNLIPRP1.6627.25.3)"	"3,301 European ancestry individuals"	NA	"Genomic atlas of the human plasma proteome. | Inactive pancreatic lipase-related protein 1 levels (PNLIPRP1.6627.25.3) | inactive pancreatic lipase-related protein 1 measurement | Sun BB | 3,301 European ancestry individuals | "	0	2	0	1	3	TRUE
"3,301 European ancestry individuals"	NA	"FALSE"	"10572788"	"TRUE"	NA	"GCST90241964"	"TRUE"	NA	"Motor neuron and pancreas homeobox protein 1 levels (MNX1.9576.58.3)"	"NA"	"29875488"	"2018-06-06"	"Nature"	"Genomic atlas of the human plasma proteome."	NA	"INTERVAL"	NA	"EFO_0802755"	"motor neuron and pancreas homeobox protein 1 measurement"	"GCST90241964"	"Genomic atlas of the human plasma proteome."	"Sun BB"	"29875488"	"Motor neuron and pancreas homeobox protein 1 levels (MNX1.9576.58.3)"	"3,301 European ancestry individuals"	NA	"Genomic atlas of the human plasma proteome. | Motor neuron and pancreas homeobox protein 1 levels (MNX1.9576.58.3) | motor neuron and pancreas homeobox protein 1 measurement | Sun BB | 3,301 European ancestry individuals | "	0	2	0	1	3	TRUE
"3,301 European ancestry individuals"	NA	"FALSE"	"10572788"	"TRUE"	NA	"GCST90242196"	"TRUE"	NA	"Pancreatic hormone levels (PPY.4588.1.2)"	"NA"	"29875488"	"2018-06-06"	"Nature"	"Genomic atlas of the human plasma proteome."	NA	"INTERVAL"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90242196"	"Genomic atlas of the human plasma proteome."	"Sun BB"	"29875488"	"Pancreatic hormone levels (PPY.4588.1.2)"	"3,301 European ancestry individuals"	NA	"Genomic atlas of the human plasma proteome. | Pancreatic hormone levels (PPY.4588.1.2) | pancreatic hormone measurement | Sun BB | 3,301 European ancestry individuals | "	0	2	0	1	3	TRUE
"3,301 European ancestry individuals"	NA	"FALSE"	"10572788"	"TRUE"	NA	"GCST90242669"	"TRUE"	NA	"Ribonuclease pancreatic levels (RNASE1.7211.2.3)"	"NA"	"29875488"	"2018-06-06"	"Nature"	"Genomic atlas of the human plasma proteome."	NA	"INTERVAL"	NA	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90242669"	"Genomic atlas of the human plasma proteome."	"Sun BB"	"29875488"	"Ribonuclease pancreatic levels (RNASE1.7211.2.3)"	"3,301 European ancestry individuals"	NA	"Genomic atlas of the human plasma proteome. | Ribonuclease pancreatic levels (RNASE1.7211.2.3) | ribonuclease pancreatic measurement | Sun BB | 3,301 European ancestry individuals | "	0	2	0	1	3	TRUE
"10,708 European ancestry individuals"	NA	"FALSE"	"10200000"	"TRUE"	NA	"GCST90248116"	"FALSE"	NA	"Inactive pancreatic lipase-related protein 1 levels"	"NA"	"34648354"	"2021-11-12"	"Science"	"Mapping the proteo-genomic convergence of human diseases."	NA	"other"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90248116"	"Mapping the proteo-genomic convergence of human diseases."	"Pietzner M"	"34648354"	"Inactive pancreatic lipase-related protein 1 levels"	"10,708 European ancestry individuals"	NA	"Mapping the proteo-genomic convergence of human diseases. | Inactive pancreatic lipase-related protein 1 levels | inactive pancreatic lipase-related protein 1 measurement | Pietzner M | 10,708 European ancestry individuals | "	0	2	0	1	3	TRUE
"10,708 European ancestry individuals"	NA	"FALSE"	"10200000"	"TRUE"	NA	"GCST90248848"	"FALSE"	NA	"Pancreatic hormone levels"	"NA"	"34648354"	"2021-11-12"	"Science"	"Mapping the proteo-genomic convergence of human diseases."	NA	"other"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90248848"	"Mapping the proteo-genomic convergence of human diseases."	"Pietzner M"	"34648354"	"Pancreatic hormone levels"	"10,708 European ancestry individuals"	NA	"Mapping the proteo-genomic convergence of human diseases. | Pancreatic hormone levels | pancreatic hormone measurement | Pietzner M | 10,708 European ancestry individuals | "	0	2	0	1	3	TRUE
"10,708 European ancestry individuals"	NA	"FALSE"	"10200000"	"TRUE"	NA	"GCST90249353"	"FALSE"	NA	"Ribonuclease pancreatic levels"	"NA"	"34648354"	"2021-11-12"	"Science"	"Mapping the proteo-genomic convergence of human diseases."	NA	"other"	NA	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90249353"	"Mapping the proteo-genomic convergence of human diseases."	"Pietzner M"	"34648354"	"Ribonuclease pancreatic levels"	"10,708 European ancestry individuals"	NA	"Mapping the proteo-genomic convergence of human diseases. | Ribonuclease pancreatic levels | ribonuclease pancreatic measurement | Pietzner M | 10,708 European ancestry individuals | "	0	2	0	1	3	TRUE
"488 European ancestry individuals"	"FALSE"	"FALSE"	"8856032"	"FALSE"	"FALSE"	"GCST90277821"	"TRUE"	NA	"PPY protein levels"	"NA"	"38565889"	"2024-04-02"	"Sci Rep"	"Genetic determinants of plasma protein levels in the Estonian population."	NA	"EB"	NA	"OBA_2051098"	"level of pancreatic prohormone in blood"	"GCST90277821"	"Genetic determinants of plasma protein levels in the Estonian population."	"Kalnapenkis A"	"38565889"	"PPY protein levels"	"488 European ancestry individuals"	NA	"Genetic determinants of plasma protein levels in the Estonian population. | PPY protein levels | level of pancreatic prohormone in blood | Kalnapenkis A | 488 European ancestry individuals | "	0	2	0	1	3	TRUE
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90433387"	"FALSE"	NA	"Pancreatic secretory granule membrane major glycoprotein GP2 levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"OBA_2051450"	"level of pancreatic secretory granule membrane major glycoprotein GP2 in blood"	"GCST90433387"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Pancreatic secretory granule membrane major glycoprotein GP2 levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Pancreatic secretory granule membrane major glycoprotein GP2 levels | level of pancreatic secretory granule membrane major glycoprotein GP2 in blood | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90434267"	"FALSE"	NA	"Pancreatic triacylglycerol lipase levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"GCST90434267"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Pancreatic triacylglycerol lipase levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Pancreatic triacylglycerol lipase levels | level of pancreatic triacylglycerol lipase in blood serum | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90434268"	"FALSE"	NA	"Inactive pancreatic lipase-related protein 1 levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90434268"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Inactive pancreatic lipase-related protein 1 levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Inactive pancreatic lipase-related protein 1 levels | inactive pancreatic lipase-related protein 1 measurement | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
