gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NHEJ1	0.361640083503851	1.40588680981311	2.97130062525103	0.00337660251205312	0.0133084633433477	-2.09948743044485
HMGA1P4	-0.743528317995813	-1.54322028331586	-2.97098986593218	0.00337985676173033	0.0133190197964387	-1.95465103288259
NAA40	-0.258700383193392	4.74958577212828	-2.97086832430559	0.00338113032030854	0.0133204854311237	-2.50509093932576
AC107959.3	1.18796876811646	-0.882902869191488	2.97084444616298	0.0033813805761902	0.0133204854311237	-1.96182621486704
LLGL2	-0.538679114570687	7.42718647279471	-2.97074936705982	0.00338237722544373	0.0133221424506238	-2.55079667733907
TMEM52B	0.917894296416086	-0.315429597961895	2.97033547555359	0.0033867189107034	0.0133369717293969	-2.00496991975798
TBC1D4	0.471468152745977	4.97372585402556	2.97013864394392	0.00338878545172697	0.0133428379175249	-2.53437719280613
KLHL2	0.288323871936839	4.62399100982935	2.96995199501931	0.00339074615386678	0.0133482854547457	-2.49669654066548
LINC00106	-0.820356034750189	-0.0318875705495165	-2.96970402234755	0.00339335265838508	0.0133562730229969	-2.01518464867475
RAD23A	-0.231710874304499	6.36654465542789	-2.96963905104916	0.00339403589249081	0.0133566891477842	-2.57959050448212
RAI14	0.488408039898476	6.09546262865367	2.96937243257993	0.00339684095845448	0.0133654538426565	-2.57177172545327
RNASE2	0.925735928306923	0.15159666496894	2.96931521886161	0.0033974431755192	0.0133655495430189	-2.02676327464689
RYK	0.336582245943566	5.69000926851317	2.9692271004413	0.00339837087937706	0.0133669254588831	-2.56550538756227
ALDH9A1	0.28095843410524	5.87047614437988	2.96903709835744	0.00340037199795049	0.0133725222867878	-2.57370408227485
EXOSC6	-0.261310796912482	4.84299737202686	-2.96897326313923	0.00340104455881274	0.0133728933281573	-2.52933672689756
AASDHPPT	0.244448039813172	4.56938255491425	2.96886081657299	0.003402229580571	0.0133752788950274	-2.50019897892707
MRPL35	0.206115017778926	4.9002413941071	2.96769215598432	0.0034145680104543	0.0134205237291045	-2.52481507871709
DMPK	-0.482266893006867	4.65086019997715	-2.96766086690896	0.0034148989167148	0.0134205237291045	-2.50287632042252
ZNF212	-0.253722312730995	4.0127905858313	-2.96735473942409	0.00341813800593202	0.0134309710841311	-2.41944544629099
AC130456.2	1.62885190393244	-0.530423248545522	2.96670296458942	0.00342504373550003	0.0134558198598003	-1.97698038863322
GJB2	1.42258703889221	5.7786957645482	2.96655720255717	0.00342658987481808	0.0134596077827433	-2.51837318206101
ZDHHC8P1	-1.12005778684986	0.953908079648315	-2.9660641837166	0.00343182421569431	0.0134778791748307	-2.08906560527064
OR13A1	-1.03771256036043	-2.27430203801863	-2.96595385634724	0.00343299655698326	0.0134801942903071	-1.94099981034123
RANBP9	0.269928496920142	4.96697004925874	2.96525512778634	0.00344042980447638	0.013507088867413	-2.54208497458117
CAPN2	0.373485730773833	8.70709690043744	2.96497425928499	0.0034434219138902	0.0135165414162343	-2.49897942829491
AL357874.3	-0.573481264168531	-0.982037715722379	-2.9648748280598	0.00344448173319858	0.0135184071823208	-2.00722096436079
TAT	-1.04435638110428	-1.67759838561675	-2.96414337227014	0.00345228739490015	0.0135456605426114	-1.98548558941165
DOC2A	-0.905829489561278	-0.262057643933681	-2.96411436880425	0.00345259723705872	0.0135456605426114	-2.02152347795367
ST6GALNAC2	0.923494654987126	0.732966820174283	2.96396675613824	0.00345417456923756	0.0135495504473077	-2.05570581198849
AP001052.1	-0.833228978948609	-2.3580437479629	-2.96386438469174	0.00345526885953172	0.0135515445452348	-1.92758795592983
GCNT4	0.655664404632184	2.63666309028425	2.96380379263789	0.00345591670269429	0.0135517873007653	-2.27156547121097
CERS2	0.377827830605833	6.19278608085156	2.96286062136744	0.00346601536495841	0.0135890834651226	-2.59205367773818
FNIP1	0.260384039148106	4.811791396284	2.96274859470185	0.00346721664747956	0.0135914892581199	-2.53879514247801
RPS9	-0.375548080802254	9.5797111007716	-2.96209023777495	0.00347428405481841	0.0136168855481851	-2.44943046007331
PEX3	0.270547989959273	2.96686928959247	2.96170331657922	0.00347844378805949	0.0136308507124951	-2.29685423744267
NHS	0.712543094863729	3.89636041144995	2.96164920183044	0.00347902593202431	0.0136308507124951	-2.38337770568384
NPTX1	1.12387434434497	3.34469910403806	2.96157473605082	0.00347982715009367	0.0136316806110038	-2.33373235411807
TF	-1.19639842423065	0.622072242419589	-2.96120196150659	0.0034838405817474	0.0136450914436332	-2.0925911390359
CHD8	0.214015203919595	6.2119101188431	2.96086786445043	0.00348744120631598	0.0136566984919939	-2.59933398799958
ZNRD2-AS1	-0.422025183058592	0.572122781855714	-2.96081743043424	0.00348798503944172	0.0136566984919939	-2.06991398930027
LINC01842	1.31043069471136	-2.24559063225522	2.9605526929099	0.00349084099731448	0.0136655671269278	-1.92325619905931
TMEM234	-0.353049687957308	3.04552183262302	-2.96029778775557	0.00349359291251886	0.0136729610770303	-2.26985640475963
PPP6R3	0.1638876787176	6.38916574090626	2.96026823022821	0.0034939121396251	0.0136729610770303	-2.60120250041937
RRM1	0.313496633449701	5.4565999175797	2.9601740558229	0.00349492942024084	0.0136731123834632	-2.57825940312354
GIMAP6	0.59099044981858	3.90059377759527	2.9601551949604	0.003495133189685	0.0136731123834632	-2.47121840427253
VWA1	-0.439243568950602	7.2936853261766	-2.9599469733831	0.00349738350372258	0.013679601839015	-2.58220253828395
TDRD7	0.319159472966278	4.60728076965199	2.95847673872597	0.00351331065431229	0.0137395753826403	-2.51595177115583
AC079922.1	-0.497652846875936	0.172583484117905	-2.95802905615156	0.00351817363206106	0.0137562670773133	-2.05728680319297
MPZL1	0.326565460436462	7.47770539944431	2.95784662834707	0.00352015703523195	0.0137616957252949	-2.57702249478446
ACBD6	-0.238639425685052	5.04669914253879	-2.95737535380242	0.00352528560613264	0.0137794161735061	-2.56281491243259
AC025171.4	-0.636793191185871	-0.441412705700268	-2.95706285481469	0.00352869010643603	0.0137893566284451	-2.03059768799716
MEIS1	0.609909170939443	5.23165631736018	2.95703248021264	0.00352902118141501	0.0137893566284451	-2.56941975843176
ESYT3	0.734322270779345	1.30973725323344	2.95677960580895	0.00353177855083007	0.013797799716824	-2.10271437181895
PCM1	0.242527803312001	6.57631342548005	2.95657562080104	0.00353400426537245	0.0138041632578169	-2.60415785904698
IL7R	1.01087229751332	4.66244901045493	2.95640630340554	0.00353585269317918	0.0138090511799811	-2.5417097650579
ATRIP	-0.274062836492314	3.21057586666842	-2.95573276006171	0.00354321451159752	0.0138340896598966	-2.32750233365527
FBXO15	-0.760744619103043	-0.759769240366696	-2.95567602431751	0.00354383527415244	0.0138340896598966	-2.04605828712489
PODXL2	-0.784463885270311	4.32896229712707	-2.95565563923586	0.00354405833772428	0.0138340896598966	-2.51857671121127
NAPG	0.311453893159982	5.2217976528792	2.95557524030562	0.00354493822789213	0.0138351892228635	-2.57693274437656
BAIAP2	-0.480009683464079	5.36508694455815	-2.95538490107449	0.00354702210952898	0.0138409865613609	-2.59327213041613
C3orf62	-0.358375249241479	2.39063818568442	-2.95510757339347	0.00355006037432254	0.0138505054550155	-2.22984929993253
CRAT37	1.35685355034128	-1.81139109778618	2.95454643336221	0.0035562152511763	0.0138721785004563	-1.96834911277392
TNFRSF1B	0.522403536094273	5.95571846244717	2.95433833601978	0.00355850025884454	0.0138775156025588	-2.61203464606219
RN7SL608P	-0.657305539236921	-2.96264186162013	-2.95431254859094	0.00355878351084296	0.0138775156025588	-1.93818697697841
RUFY2	0.223458080212022	3.83901758413224	2.95399562212397	0.00356226635619198	0.0138887552741079	-2.43703486623901
PRR29	-0.639097078371779	1.02751594827142	-2.95335721961096	0.00356929153956069	0.0139137998865599	-2.13506367924376
PSTPIP2	0.67377068822466	3.06643397338867	2.95316144828037	0.00357144841426907	0.0139198616321562	-2.3051694303452
FSIP2-AS1	-0.835507611502396	-3.0031695767227	-2.95215131142365	0.00358259642475474	0.013960958738286	-1.93660510091763
POM121C	-0.239585416361223	5.03274998584087	-2.9519380942805	0.00358495359487191	0.0139655688659805	-2.59324538578372
XPNPEP1	0.30300191664423	6.09651580217886	2.95191646256112	0.00358519281854008	0.0139655688659805	-2.62243182681185
LSM10	-0.282988963160866	4.50259719052658	-2.95188046289467	0.00358559096879073	0.0139655688659805	-2.53315524685193
ASCC2	-0.207517334402113	6.09540264550256	-2.9516957953762	0.00358763399820007	0.0139711734484545	-2.63017021246565
RGCC	-0.546755569928112	4.61078412779927	-2.95133517680056	0.00359162670326956	0.0139823925546507	-2.56773777236069
HLA-DQA1	0.865599529290655	6.62785018480815	2.95132638777661	0.00359172406464803	0.0139823925546507	-2.60708411023596
ATF7IP	0.282761282980625	6.07809298954072	2.95108890131436	0.00359435576369836	0.0139902827503897	-2.62630993066384
UBBP1	1.01833752544635	-3.15272588006391	2.9508130728931	0.0035974145680803	0.0139998324298437	-1.92413728186818
LY75	0.797227679658144	4.44165536348819	2.94969734785311	0.00360981179944313	0.0140457145520728	-2.4745176772594
AGAP7P	-1.0458044496628	-2.67408044169373	-2.94924640956953	0.00361483345034546	0.0140628878115374	-1.9600136261512
ZNF792	0.316416823778063	2.84155078464255	2.94888626777387	0.00361884859211244	0.0140761403024515	-2.2978453028981
HSD3BP5	0.826229043423075	-2.24544824253324	2.94861602837525	0.00362186411752277	0.0140855008088224	-1.98544564466487
GIPC1	-0.415672915332403	7.3241890342212	-2.94830190831923	0.00362537219104435	0.0140967733749956	-2.62466323314076
TMEM127	0.234281030187882	7.15509690370898	2.94817790187326	0.00362675794516724	0.0140997911843718	-2.61613127469651
MYDGF	-0.353732225353173	6.69630145335967	-2.94780765369163	0.0036308983061323	0.0141119645142227	-2.63672147119796
P2RY12	0.952589543560005	-0.413699973010003	2.94778877705365	0.00363110951332321	0.0141119645142227	-2.08634592654469
SMARCB1	-0.240011657530244	6.21494495777706	-2.94762005684818	0.00363299779279907	0.0141169309394921	-2.64209425330161
FBLN5	0.672339072955309	5.84535761783157	2.94721773318052	0.00363750414550865	0.0141320671724045	-2.63075282111524
AP003119.3	0.6615081183734	1.06056216974242	2.94709033111465	0.00363893222069789	0.0141339640271971	-2.12602415433586
HSD11B1	0.87542563251516	2.90789192402223	2.94706514282016	0.00363921462218778	0.0141339640271971	-2.33665853077085
AC026748.3	-0.702062250869952	-2.46473695831368	-2.94621121182924	0.00364880046758037	0.0141688141729682	-1.99969297245945
NLRP3	0.69346037582399	2.03494916217805	2.94575303705238	0.00365395327107938	0.014184760510825	-2.234969189282
PARS2	0.293936432400397	2.38058359022009	2.94573700867795	0.00365413365286645	0.014184760510825	-2.24987181214228
CDCA2	0.786562691900229	1.59201376790147	2.94534852938852	0.00365850805962983	0.0141993580136128	-2.15246009614402
WNT10B	-0.834079362367306	-0.704838214416114	-2.94514730930467	0.00366077575240316	0.0142057754365067	-2.07281831109948
UQCC2	-0.360032808825959	4.5981412726288	-2.94481496047681	0.003664524051287	0.0142179352890733	-2.55648120327742
PI4KAP2	-0.442217476418059	2.06609359625506	-2.94447999160536	0.00366830546022774	0.0142302195042179	-2.21295585742485
CPB1	3.72526774292845	5.72959374585442	2.94441066269341	0.0036690885497675	0.0142308703637469	-2.55189608138684
NPIPA5	-1.15388696084577	-0.52513841021084	-2.94430596909284	0.00367027138391953	0.0142330711883452	-2.07148505065183
AL117209.1	-0.723949606245769	-2.09036185218936	-2.94422199785242	0.00367122034836345	0.0142343644957167	-1.99416924559471
FMOD	0.661546186841598	6.72181938300553	2.94392291296596	0.00367460215409601	0.0142450886054195	-2.63445986392606
ZNF197	0.203554083354812	4.10824537930548	2.94359153773839	0.00367835240789562	0.0142572372196765	-2.50447058247912
RBP5	-0.609336372202983	2.46218926368418	-2.94335262981548	0.00368105836357727	0.0142653347575092	-2.30494840898944
EXOSC9	-0.198129821646763	4.11442863926478	-2.94305462797392	0.00368443619607763	0.014276032893765	-2.50893752435236
BTN3A2	0.499009434211879	5.51173965438635	2.94263182457305	0.00368923352315737	0.0142922266203658	-2.63080555942007
TMEM169	0.665225057738906	0.982345097998737	2.94255819182855	0.00369006958036125	0.0142930713874719	-2.14724402724311
PCAT7	1.05385735223548	0.612618657927765	2.94243008567251	0.00369152456566524	0.0142963128189393	-2.10386514242317
SPTBN4	-0.988762573843363	1.73735401570853	-2.94211580590237	0.00369509627467377	0.0143077493120132	-2.24862945215833
C2orf74	-0.453160504656918	-1.18105648620467	-2.94196389687436	0.00369682381743127	0.0143120423919569	-2.0568600628211
CEACAM7	2.30487255742921	3.89834205721644	2.94190352059809	0.00369751063529333	0.0143123056021865	-2.37937897778565
APLP1	-1.16582793084021	4.4748163455727	-2.94161966635676	0.00370074122281001	0.0143224134874749	-2.62086391575382
FAM131C	-1.12046723393891	0.28900428993638	-2.94146160719406	0.00370254123923062	0.0143269823960056	-2.12932700918932
ANKRD12	0.291192446834192	5.39198228417756	2.94115527181932	0.00370603214699255	0.0143380915850859	-2.64344927988385
NUP35	0.267711236702461	3.4380179254108	2.94085965469228	0.00370940377348238	0.0143479769314056	-2.40021535376984
RRP7A	-0.392657249991646	5.14815155467695	-2.94082247660204	0.00370982800284526	0.0143479769314056	-2.61980070635903
AGO4	0.292896688567131	4.71516369939738	2.94064862770736	0.0037118123369914	0.0143532512506165	-2.576420138503
AC010976.2	-0.908302543906445	-1.53344629138477	-2.94042971274304	0.00371431244527197	0.0143581303918534	-2.05032723268863
RRAS2	0.439181543690864	4.22619577335514	2.940429425475	0.00371431572701743	0.0143581303918534	-2.49585951963762
PRR11	0.721869246445099	3.19681894454889	2.94034574736127	0.00371527177759734	0.0143594260815961	-2.32936693328542
AC073073.1	-0.628355394790699	-2.20993213729142	-2.94025965422963	0.003716255656022	0.0143608288742651	-2.00413518568024
NFE2L3	0.646641714875506	4.59327103754309	2.94003763237022	0.00371879403996263	0.0143682373131065	-2.50694743197897
ATP5IF1	-0.342904151096555	6.2629304281324	-2.93972164920394	0.00372240942780824	0.0143798037825871	-2.66502005029599
MIR200B	-1.29944994762162	-3.55098689213259	-2.93963574992639	0.00372339281932957	0.0143812005887532	-1.94120206691973
AL132657.1	-0.603170520530445	-2.49845376992286	-2.93912472931695	0.00372924800638177	0.0144014105679742	-2.00280483110017
DPH1	-0.304423770761839	3.47925873582651	-2.93865841535182	0.0037345983162194	0.0144196644169486	-2.45073010615071
DEPDC1	0.855186484482039	1.58615574998762	2.93826034298042	0.00373917121401349	0.0144349110061265	-2.17008726193585
RPL10P9	1.28696251815134	1.1381798587369	2.93794298320368	0.00374282059398258	0.0144465879001384	-2.16295456083372
RFTN2	0.436306074386039	2.28790703957922	2.93768821593725	0.00374575257299016	0.0144554923257328	-2.28769683361566
ANKRD22	1.14068113565681	4.48875594078364	2.93727872061333	0.00375046964549319	0.0144712816084362	-2.45471607536114
AL136162.1	-0.602286302862822	-2.18835597901295	-2.93699757492453	0.00375371138024485	0.0144813739453383	-2.02077053993304
TBL3	-0.304500675909745	5.5673016589433	-2.93693325421619	0.0037544533875094	0.014481820871634	-2.65016277032434
EMP2	0.495207958689528	6.37432076988871	2.93631742047583	0.00376156448840139	0.0145068306632895	-2.6640008215687
ATP1A1-AS1	-0.520334771075609	3.01653411014838	-2.9360854679062	0.00376424606954069	0.0145147521000895	-2.35539708438478
TMEM97	0.794324117740057	5.08065389486516	2.93543053943975	0.00377182709471558	0.014541559767725	-2.61533588771648
