gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
RNF123	-0.0351247135812312	4.54028138242116	-0.376794341178298	0.706776580823743	0.812603338700116	-6.38611429368048
COQ4	-0.0367843043462974	5.64916415417428	-0.376689892766267	0.706854071263849	0.812617547857947	-6.50879753459993
AC024361.1	-0.0698022005471679	-2.02048356338163	-0.376682965369977	0.706859210818323	0.812617547857947	-5.69153947287346
LSMEM1	-0.0816550087153685	-2.04045286244862	-0.376394727951421	0.707073071060598	0.812785313552804	-5.67389940905504
SRSF11	-0.0319555452105842	6.97926126277475	-0.376348235130252	0.707107568994927	0.812785313552804	-6.50400466401969
AC020659.1	0.151680364439464	0.0305802472403988	0.376344188909784	0.707110571341922	0.812785313552804	-5.83297240946389
SLC2A14	-0.133307606047882	-1.96091607222354	-0.376096891444278	0.707294077922324	0.812955841078795	-5.67081278571108
CDC5L	-0.0253439632210188	5.56953441785247	-0.375751112531289	0.707550691213819	0.813210375510272	-6.49149216730015
GINM1	-0.0283854760917146	5.27782077043386	-0.375671800036556	0.707609556209084	0.813237617571243	-6.47059933636087
SLC22A11	0.121261976956162	-1.2567017025373	0.375560370567989	0.707692261100712	0.813292254148435	-5.72732025212411
RRH	-0.0740752892712209	-2.36389938912307	-0.375387293089078	0.707820729114963	0.813344132741953	-5.62666684231425
HIP1R	-0.0524162866320213	6.44589629232656	-0.375377060976516	0.707828324237351	0.813344132741953	-6.5151304464687
LAMA1	0.105906423430324	1.61616015649026	0.375357418128804	0.707842904869856	0.813344132741953	-5.92209612920321
CCDC50	-0.031191857380545	6.46676372311207	-0.375285502521121	0.707896287819573	0.813365062580908	-6.51749392454978
STK11	0.0293849938158699	5.90403546086337	0.375231541041091	0.707936344372511	0.813370679217459	-6.51569498545759
SEPTIN4-AS1	0.0594355482025375	-2.05246955504353	0.375136301911878	0.708007044036844	0.813411500396608	-5.6702177650895
SIK1	0.2235798542027	0.20565879146201	0.375009377523491	0.708101268831514	0.813465520005085	-5.80878511072409
AP001148.1	-0.0501975977759691	-0.291680186181888	-0.374978208758749	0.708124408261085	0.813465520005085	-5.79651817474701
PRKG1	0.0695677905771572	3.75314593635093	0.374874296679177	0.708201553680684	0.813475020826601	-6.20445504028371
AL365330.1	-0.0559762432358415	-1.20127910783215	-0.374872315944928	0.708203024227932	0.813475020826601	-5.75256909189497
STK16	0.0269736896191519	5.02841482448071	0.37477339417873	0.708276467646927	0.813479199858856	-6.46035802325658
