accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204119_P11_features.tsv.gz"	"GSM6204119_P11_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204119_P11_matrix.mtx.gz"	"GSM6204119_P11_matrix.mtx.gz"	"gz"	101597457	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204120_P12_barcodes.tsv.gz"	"GSM6204120_P12_barcodes.tsv.gz"	"gz"	50289	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204120_P12_features.tsv.gz"	"GSM6204120_P12_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204120_P12_matrix.mtx.gz"	"GSM6204120_P12_matrix.mtx.gz"	"gz"	72790553	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204121_P13_barcodes.tsv.gz"	"GSM6204121_P13_barcodes.tsv.gz"	"gz"	19428	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204121_P13_features.tsv.gz"	"GSM6204121_P13_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204121_P13_matrix.mtx.gz"	"GSM6204121_P13_matrix.mtx.gz"	"gz"	27253164	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204122_P14_barcodes.tsv.gz"	"GSM6204122_P14_barcodes.tsv.gz"	"gz"	106686	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204122_P14_features.tsv.gz"	"GSM6204122_P14_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
