gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
WNT5A	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	WNT5A	WNT5A	0.98989364465152	0.00468917412840985	3.37901030310269	WNT5A	positive_pathway	0.98989364465152
FAP	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	FAP	FAP	0.969727385670208	0.0186696256087493	2.83079521916373	FAP	positive_pathway	0.969727385670208
CALD1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	CALD1	CALD1	0.968296229436362	0.000243303601702083	4.36298428896915	CALD1	positive_pathway	0.968296229436362
COL3A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	COL3A1	COL3A1	0.968285189965755	0.0193243448004862	2.81581005721071	COL3A1	positive_pathway	0.968285189965755
ITGAV	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	ITGAV	ITGAV	0.959777511816574	1.55594305573891e-06	5.78096084316419	ITGAV	positive_pathway	0.959777511816574
NTM	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	NTM	NTM	0.925003772587549	0.00945636153608911	3.10633852552201	NTM	positive_pathway	0.925003772587549
MMP2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MMP2	MMP2	0.898587285322424	0.0278249634589982	2.65777570505191	MMP2	positive_pathway	0.898587285322424
MATN3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MATN3	MATN3	0.88375225521501	0.0785264747960908	2.15379759838358	MATN3	positive_pathway	0.88375225521501
ABI3BP	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	ABI3BP	ABI3BP	0.879126144851388	0.00764368880210075	3.19087287817958	ABI3BP	positive_pathway	0.879126144851388
ITGB1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	ITGB1	ITGB1	0.863117976115754	0.000141115796328	4.53321176620719	ITGB1	positive_pathway	0.863117976115754
